997;	3517;
998;	3517;
999;	3517;
1000;	3517;
1001;	3517;
1002;	3517;
1003;	3517;
1004;	3517;
1005;	3517;
1006;	3517;
1007;	3517;
1008;	3517;
1009;	3517;
1010;	3517;
1011;	3517;
1012;	3517;
1013;	3517;
1014;	3517;
1015;	3517;
1016;	3517;
1017;	3517;
1018;	3517;
1019;	3517;
1020;	3517;
1021;	3517;
1022;	3517;
1023;	3517;
1024;	3517;
1025;	3517;
1026;	3517;
1027;	3517;
1028;	3517;
1029;	3517;
1030;	3517;
1031;	3517;
1032;	3517;
1033;	3517;
1034;	3517;
1035;	3517;
1036;	3517;
1037;	3517;
1038;	3517;
1039;	3517;
1040;	3517;
1041;	3517;
1042;	3517;
1043;	3517;
1044;	3517;
1045;	3517;
1046;	3517;
1047;	3517;
1048;	3517;
1049;	3517;
1050;	3517;
1051;	3517;
1052;	3517;
1053;	3517;
1054;	3517;
1055;	3517;
1056;	3517;
1057;	3517;
1058;	3517;
1059;	3517;
1060;	3517;
1061;	3517;
1062;	3517;
1063;	3517;
1064;	3517;
1065;	3517;
1066;	3517;
1067;	3517;
1068;	3517;
1069;	3517;
1070;	3517;
1071;	3517;
1072;	3517;
1073;	3517;
1074;	3517;
1075;	3517;
1076;	3517;
1077;	3517;
1078;	3517;
1079;	3517;
1080;	3517;
1081;	3517;
1082;	3517;
1083;	3517;
1084;	3517;
1085;	3517;
1086;	3517;
1087;	3517;
1088;	3517;
1089;	3517;
1090;	3517;
1091;	3517;
1092;	3517;
1093;	3517;
1094;	3517;
1095;	3517;
1096;	3517;
1097;	3517;
1098;	3517;
1099;	3517;
1100;	3517;
1101;	3517;
1102;	3517;
1103;	3517;
1104;	3517;
1105;	3517;
1106;	3517;
1107;	3517;
1108;	3517;
1109;	3517;
1110;	3517;
1111;	3517;
1112;	3517;
1113;	3517;
1114;	3517;
1115;	3517;
1116;	3517;
1117;	3517;
1118;	3517;
1119;	3517;
1120;	3517;
1121;	3517;
1122;	3517;
1123;	3517;
1124;	3517;
1125;	3517;
1126;	3517;
1127;	3517;
1128;	3517;
1129;	3517;
1130;	3517;
1131;	3517;
1132;	3517;
1133;	3517;
1134;	3517;
1135;	3517;
1136;	3517;
1137;	3517;
1138;	3517;
1139;	3517;
1140;	3517;
1141;	3517;
1142;	3517;
1143;	3517;
1144;	3517;
1145;	3517;
1146;	3517;
1147;	3517;
1148;	3517;
1149;	3517;
1150;	3517;
1151;	3517;
1152;	3517;
1153;	3517;
1154;	3517;
1155;	3517;
1156;	3517;
1157;	3517;
1158;	3517;
1159;	3517;
1160;	3517;
1161;	3517;
1162;	3517;
1163;	3517;
1164;	3517;
1165;	3517;
1166;	3517;
1167;	3517;
1168;	3517;
1169;	3517;
1170;	3517;
1171;	3517;
1172;	3517;
1173;	3517;
1174;	3517;
1175;	3517;
1176;	3517;
1177;	3517;
1178;	3517;
1179;	3517;
1180;	3517;
1181;	3517;
1182;	3517;
1183;	3517;
1184;	3517;
1185;	3517;
1186;	3517;
1187;	3517;
1188;	3517;
1189;	3517;
1190;	3517;
1191;	3517;
1192;	3517;
1193;	3517;
1194;	3517;
1195;	3517;
1196;	3517;
1197;	3517;
1198;	3517;
1199;	3517;
1200;	3517;
1201;	3517;
1202;	3517;
1203;	3517;
1204;	3517;
1205;	3517;
1206;	3517;
1207;	3517;
1208;	3517;
1209;	3517;
1210;	3517;
1211;	3517;
1212;	3517;
1213;	3517;
1214;	3517;
1215;	3517;
1216;	3517;
1217;	3517;
1218;	3517;
1219;	3517;
1220;	3517;
1221;	3517;
1222;	3517;
1223;	3517;
1224;	3517;
1225;	3517;
1226;	3517;
1227;	3517;
1228;	3517;
1229;	3517;
1230;	3517;
1231;	3517;
1232;	3517;
1233;	3517;
1234;	3517;
1235;	3517;
1236;	3517;
1237;	3517;
1238;	3517;
1239;	3517;
1240;	3517;
1241;	3517;
1242;	3517;
1243;	3517;
1244;	3517;
1245;	3517;
1246;	3517;
1247;	3517;
1248;	3517;
1249;	3517;
1250;	3517;
1251;	3517;
1252;	3517;
1253;	3517;
1254;	3517;
1255;	3517;
1256;	3517;
1257;	3517;
1258;	3517;
1259;	3517;
1260;	3517;
1261;	3517;
1262;	3517;
1263;	3517;
1264;	3517;
1265;	3517;
1266;	3517;
1267;	3517;
1268;	3517;
1269;	3517;
1270;	3517;
1271;	3517;
1272;	3517;
1273;	3517;
1274;	3517;
1275;	3517;
1276;	3517;
1277;	3517;
1278;	3517;
1279;	3517;
1280;	3517;
1281;	3517;
1282;	3517;
1283;	3517;
1284;	3517;
1285;	3517;
1286;	3517;
1287;	3517;
1288;	3517;
1289;	3517;
1290;	3517;
1291;	3517;
1292;	3517;
1293;	3517;
1294;	3517;
1295;	3517;
1296;	3517;
1297;	3517;
1298;	3517;
1299;	3517;
1300;	3517;
1301;	3517;
1302;	3517;
1303;	3517;
1304;	3517;
1305;	3517;
1306;	3517;
1307;	3517;
1308;	3517;
1309;	3517;
1310;	3517;
1311;	3517;
1312;	3517;
1313;	3517;
1314;	3517;
1315;	3517;
1316;	3517;
1317;	3517;
1318;	3517;
1319;	3517;
1320;	3517;
1321;	3517;
1322;	3517;
1323;	3517;
1324;	3517;
